review_text,rating,date
won't stop sending notifications no matter how many times i change settings. so many notifications,1,2026-03-16 02:30:18
it tells me to put in my driver's license every time I come in. which I do and it doesn't let me in. I just recently got a new phone number so this is a problem.,1,2026-03-16 02:27:33
"Drivers consistently cancel rides before pick up and the app gets stuck in a loop trying to find a new one. Only work around is to cancel the request and make a new, forcing you to wait all over.",1,2026-03-16 02:13:17
"several issues with the app for both drivers and users. I'll pick the fastest option and I'll be waiting for 20 minutes. I also chose the option for lyft to where it chooses rides with women and nonbinary folk, and I'll still be mostly riding with men. Lastly, and this affects both users and drivers, the GPS with lyft is just insane. From outrageous routes to trying to make you turn places you can't even turn. it's dangerous.",2,2026-03-16 00:46:17
according can't get to. my scheduled ride to change the. pickup date!,3,2026-03-16 00:41:01
friendly drivers short wait time most of the time reasonable prices,5,2026-03-16 00:27:48
Hard to edit Hard to enter route and stops. by,3,2026-03-16 00:18:55
good and will get u 2 ur destination.,5,2026-03-15 23:52:05
I hate when they do the 15% off flash discount because a ride that usually cost me $7-$11 now cost $17-25 a quick 10 minute ride to work cost double to triple the amount for a so called discount.... how do I opt out of the discount and keep my fares reasonable smgdh always a scam or highway robbery every where you turn when you just trying to get to work....shameful but every blue moon you get a little here you go over reasonable fare for the 10 minute ride,3,2026-03-15 23:36:46
My car broke down near the town of Andrews Texas and I had to get to a job so I went on the app and scheduled a pickup. The tow truck picked my car up and I waited and waited for my Lyft driver that never showed up. I waited for over an hour past the scheduled pick up time for a ghost. In turn I lost that client and I have Lyft to blame. NEVER AGAIN!,1,2026-03-15 22:22:23
don't like a 3 party charge as well as a 3 party tip an the license plate I can not report cause it does not show so I report the lift driver that I get the lift an I'm denied my refund up to 30 cash upload,1,2026-03-15 21:36:24
Drivers on this app are genuinely terrible and the prices are absurd.,1,2026-03-15 21:27:25
LYFT is so expensive worst app ever I'm going back to Uber unless they update fast I had to walk to work it was so embarrassing,1,2026-03-15 19:21:55
"Lyft has been a life saver for me! it's cheap! and every single person I've gotten a ride from has been amazing! I hate that sometimes I don't have any money left for a tip, but I do give them five stars because they've been so great! Definitely worth it!",5,2026-03-15 19:16:17
all drivers have caring and n respectively good ĺ,5,2026-03-15 19:01:53
"afterbwaiting 20 min for a ride, a driver 10 min away cancelled on me. im just gonna use waymp",1,2026-03-15 18:48:09
"Outrageous prices. My driver was super untrustworthy. Uber is less expensive and cheaper. Lyft is going down hill quickly. The entire vibe is we are better You. I'm sure its different for middle-upper class. If you love the feeling of being dehumanized, all the power to you. At least Uber treats customers like humans. oh, we are",1,2026-03-15 18:38:10
its awful with trying to get drivers. it takes up to 40min sometimes 😕 had to re-download Uber 😒,1,2026-03-15 18:12:53
"Absolute trash of an app. You will NEVER get to your destination on time, especially if youre desperate. They will just leave you hanging for an hour, never update you, and lie constantly about the time and price. Not enough drivers paid very little, and it shows. NEVER DOWNLOAD. Other rideshare apps at least pretend to care about your time and money, lyft clearly thinks they dont have to.",1,2026-03-15 16:27:34
Love it because they are there when you need them no matter what.,5,2026-03-15 14:45:16
Lyft does a lot of lying. There's no such thing as Lyft Silver in the app. Or even in the USA. Lyft lies also about using your debit card even after you send them proof from the bank. Lyft AI is as bad as Lyft app. Lyft on 02/21/2026. From dept store to home is $16.97 at 4:40 pm. Uber same distance is $9.96. Better and cheaper to use Uber. Lyft goes back to there old way of pricing. Then I will use them again. But for the same pick up and drop off pricing. Uber is cheaper.,1,2026-03-15 14:38:39
scheduled ride was not provided. I would like so eone from lyft to follow.up with and ex plain why!!!,1,2026-03-15 14:24:50
on fri 13 i had few dollars on card 11 i used lyft they took my money and did not send a car its cool ill catch the bus 2.00 verse 11.and drop off about the same.im tired of this lyft i fell off the lyft . they denied everything but its all good you ppl are awful all on the east coast scheming scamming.like airtalk they're over here broke.,1,2026-03-15 13:37:37
need a r8de,5,2026-03-15 13:17:05
this program is garbage! never use again. Never! Never! Never!,1,2026-03-15 12:16:52
rates been sky rocket,4,2026-03-15 11:49:16
Chris was awesome very person able,5,2026-03-15 11:12:56
gets me where I need to go.... safely,5,2026-03-15 10:19:21
your driver's take jobs then leave the rider waiting. horrible service.,1,2026-03-15 10:04:30
loved it 😜,5,2026-03-15 10:02:11
"Such a scam. Same (short) ride, at the same time was quoted $9 for my friend and $15 for me. So messed up it analyzes your personal data to charge you more. Being charged 150% of what someone else is charged is INSANE.",1,2026-03-15 04:22:59
"Lyft always advertises lower rates, but you always have to wait twice as long as it says. my last ride I waited three times as long and the driver cancelled. horrible experience.",1,2026-03-15 03:52:12
Fine now go back to lyft,5,2026-03-15 02:32:24
Good prices good service,5,2026-03-15 02:28:30
"They claim to value women's safety, but offer no support when you're in an unsafe situation. I had a Lyft car arrive with the wrong license plate, and the driver called me through the app insisting I should enter anyway. I was by myself in a dark alley and felt unsafe, so I cancelled the ride so the rider would leave. Now, Lyft refuses to offer me a refund. I've never been treated with such disrespect from Uber, so I'm uninstalling Lyft and returning to Uber.",1,2026-03-15 01:29:13
Lyft!! You're charging way too much! Your price for my trip: $55. Uber's price: $22. Because I'm only traveling 7 miles. And you don't offer ANY benefits to justify such ridiculous prices. This is why I rarely ever use Lyft.,1,2026-03-15 00:22:54
please lower prices thank you,4,2026-03-14 23:59:28
Cannot see scheduled ride despite uninstalling & reinstalling the app. Also cannot schedule a return ride.,3,2026-03-14 23:48:41
"This app is horrible. It tells you to wait 5 minutes, but it actually takes 15. Then, if you cancel the ride because of their delay, they still charge you a fee. Don't use this, especially if you are in a hurry or have an emergency.",1,2026-03-14 21:37:05
Includes misleading advertising. doesn't allow to define the tip I want to give. Collects a tip I don't want to pay!,1,2026-03-14 18:34:30
Old reliable,5,2026-03-14 12:59:11
"I'm trying to catch a ride, not drive for Lyft..this sucks ... cut the advertising send a car",1,2026-03-14 10:34:04
Canceled my account for some reason while i was trying to order a ride. Uber is more reliable.,1,2026-03-14 10:29:28
"Driver did not tell me where he was. Then when I eventually found him, he refused to take me. I am a woman alome late at night. And I can't write feedback in the app to describe my experience. Nor to rate the driver for a ride he refused to pick up but yet a fee was taken.",2,2026-03-14 10:28:31
"this ride share app is trash when compared to uber. pm to pm: do better, you should be fired",1,2026-03-14 09:54:29
I love this app,5,2026-03-14 09:49:05
garbage app!!!! Don't waste your time with Lyft. Uber is the way to go,1,2026-03-14 09:24:36
All it does is charge you more than Uber. Do you have rewards? Good luck. Awful on all fronts.,1,2026-03-14 09:05:46
Convenient service. Arrival and trip times are outright lies. Edited to add: App is intentionally designed to make it impossible to get help or to report poor service. Edit: more of the same. Garbage app. Been waiting for 20 when it said 8. Choose any competitor.,1,2026-03-14 08:28:55
I only use Uber,1,2026-03-14 07:17:18
it's not letting me create an account. help!!,1,2026-03-14 07:06:03
worst ride app I've had in 10 years. how to do 12 drivers cancel in 20 mins. Now I'm late to work because the drivers aren't dependable in this area.,1,2026-03-14 06:43:44
APPRECIATE THE RIDES ESPECIALLY WITH MY PHYSICAL CONDITIONS AND DIMISHING HEALTH . THANK YOU LYFT,5,2026-03-14 05:45:14
you like to send you drivers to the wrong place and then charge a cancellation fee. thanks I love being late for work and then getting charged for it.,1,2026-03-14 05:43:22
it was a great app experience until they planted giant ads on every page,2,2026-03-14 05:01:19
Customer service just talks in circles. The tactic seems to be exhausting the customer expecting them to give up on complaints. Closed account instead of continuing to go in circles with customer service representatives that seem to be trained to pretend to be clueless.,1,2026-03-14 04:32:29
"Drivers cancel too often, wait times quoted are always way too low. Customer service is virtually nonexistent",1,2026-03-14 03:17:22
"Apathetic to owners of old phones who don't upgrade because of cost (and liking their phones), now absolutely tone deaf management during time of extremely high memory prices. Are you trying to turn me into an Uber customer? They don't seem to have these problems.",1,2026-03-14 03:12:16
waited 20 minutes and driver cancelled last second. never had this with Uber. bye lyft!,2,2026-03-14 03:06:20
my last ride with Julio Cesar was wonderful. he went out of his way to make us feel safe. please thank him for us again!! 🙏,5,2026-03-14 02:09:48
much more expensive than Uber,3,2026-03-14 01:50:15
you charge me for a lift it didn't come this morning were.my money,2,2026-03-14 01:31:29
stop removing the ability to choose a custom tip amount. this App would be just fine if some idiot didnt change the payment process every six months,1,2026-03-14 01:28:36
"off and on problems... besides that, okay.",4,2026-03-14 01:14:37
app has gone down. it takes way longer than expected. and it's not sometimes. I've had this on my past four rides to where I canceled. And I just had it happen again. I selected to where it would be 10 minutes and on top of it taking 18 minutes for my ride to get here it took like 5 or 6 minutes just to find a ride. to mention they've raised their prices. a 1 mile ride costs me 15$ other apps are half that,3,2026-03-13 23:54:10
"Got the non-wait ride and it gave me someone 12 minutes away then it gave me someone closer but then when they arrived to drop someone else off, I checked my phone and it said the ride was cancelled. I literally saw the car drive by me in the parking lot. then after that they gave me a ride that'll take 9 minute to arrive. I could walk to the location in 10 minute so I decided to walk in the snow with groceries and a broken zipper. the pain of that walk was better than the pain of Lyft",1,2026-03-13 23:45:16
overpriced like hell Jesus my job is like 2.5 miles away uber price 10 to 15 dollars Lyft 30 to 40 make it make sense done with this trash.,1,2026-03-13 23:33:44
drains my battery like crazy. About 1% per minute while using the app. it's made it unusable.,2,2026-03-13 23:22:32
"Dropping a one star review in hopes of actually getting my review noticed. I want to be able to request only drivers that speak a specific language. If I want to drive in silence because the driver can't communicate I don't need Lyft, I can take Waymo. I want to be able to have human interaction. I travel a lot and use your app a lot. I often get my best advice for food, places to see, and safe neighborhoods from the drivers. I don't want to waste time asking after already requesting the car.",1,2026-03-13 23:02:11
Lyft already charges so much for their service. Now they're forcing you to watch ads before you can see where your driver is so they can get more. 👎🏻👎🏻👎🏻,1,2026-03-13 22:05:52
"changed cards and it went up $6. ""Prices May Vary"". So, how ""random"" will these prices be if i read the fine print the things i say yes to?",3,2026-03-13 22:02:04
"Okay app, depends on location for effectiveness. Not great at estimating time. Not good at screening out drivers - the rating system tends to skew in favor of overrating. Also, at busy times availability isn't great. At midnight at the airport, you know who the Lyft users are - they are the people still waiting for cars long after the Uber users have been picked up. it is, however, slightly cheaper on average.",3,2026-03-13 20:58:23
"As nice as the app is sometimes, it is not only super predatory on times but also the times aren't accurate and I'm not sure when their last GPS update was but they need to do one. Drivers are constantly getting lost or going super long routes for no reason. Wasting the customers time and the driver's gas.",3,2026-03-13 19:14:52
played a full screen ad with flashing lights and disturbing suggestive images. there was no ability to stop this playback. this could trigger a seizure in vulnerable populations.,1,2026-03-13 17:06:17
to nearly double in price in less than a year and be even more unreliable is an insane business model,1,2026-03-13 16:08:06
always a great experience when I need a lyft I no who i can count on Lyft it's awesome.,5,2026-03-13 14:38:07
I think it's unacceptable that this app charges $42 for 9 miles,2,2026-03-13 13:18:01
"yeah the driver cancelled on me less than one hr before he was due to arrive , the app never notified me about it and I had to scramble to get a ride last minute from somewhere else . I had to fight the AI to get my refund.",1,2026-03-13 09:31:35
extended wait times and throttling when a price is arbitrarily increased. two thumbs down.,1,2026-03-13 09:15:12
easy to understand and use,5,2026-03-13 07:10:58
"Lyft is getting worse with pairing a driver to ride but the time increases while you wait. Then the driver will cancel and someone picks up who was closer apparently. I've had this happen 3 times during one Lyft attempt. But its happened at least twice during several others. Probably nothing Lyft can or cares to fix but it sucks. If my ride is booked, why do I have to wait 1 to 5 minutes to see the driver?!!! Pay the drivers better and stop asking for a tip well before I get to my drop-off!!",1,2026-03-13 06:35:53
good,5,2026-03-13 05:21:08
Used to be my go to ride app. Slowly it got more expensive and the drivers would cancel rides at the last moment. Loved Lyft for the last five years. Time to move on. edit: 03/26 tried again and just terrible. lowered from 2 Star to 1.,1,2026-03-13 04:30:20
I was trying to schedule a ride for when we land. it took my payment and sent a driver immediately!😡,1,2026-03-13 03:58:13
"Lyft used to be great! now apparently they got too greedy so many drivers going to Uber only, their rates are cheaper too! Good going lyft!😹",1,2026-03-13 03:07:28
Great very pleasant,5,2026-03-13 02:27:40
great!,5,2026-03-13 02:17:09
"No actual customer support, just broken AI chatbots.",1,2026-03-13 02:08:18
a driver falsly accused me of causing damage and lyft charged me without doing a proper investigation,1,2026-03-13 02:02:00
"basura, son deshonestos con las promos así que no regales tus datos a cambio de nada. son falsas. el precio es el mismo solo q lo inflan para así darte los supuestos $10, en otras palabras te están engañando, comparen con uber y les va a salir igual antes de que caigan en esto.",1,2026-03-12 23:07:42
"Problem below still exists. Latest update also makes it so you can't see the ride prices if your phone is in dark mode! Bad font color for the numbers... For some reason, the app uses the ringtone volume on your phone to play music when a driver is assigned to your ride request. It should only use the notification volume to make sounds as it is not a phone-calling app.",2,2026-03-12 22:51:15
"first time using this app, and im very dissapointed.",1,2026-03-12 22:07:57
"Driver was dishonest and started timer 10 minutes before I even got in the car. Chat person did nothing to resolve even though they could tell I didn't leave my location because they sent an, ""Are you okay?"" message to me because of 10 minutes not moving. They know he was scamming the system and did nothing to make it right. Poor customer service and no accountability for dishonest behavior.",1,2026-03-12 18:40:18
useless,1,2026-03-12 18:31:47
"if there was a option for zero stars. this company deserves it. i'm writing this to say never use lyft , if their driver cancels on your ride.They will hold your money for 5-7 days. i literally don't have money for food in their holding my money ransom.Because their driver canceled on me. your guys Policies need to change and maybe I'll be a customer again. Installing Uber. and happier paying them more. lyft is terrible!!!!!!!",1,2026-03-12 18:18:14
"fantastic app, does what its supposed to and gets me where I need to go",5,2026-03-12 17:11:08
Great ride,5,2026-03-12 17:04:56
20 minutes wasted just to never find a ride. Just get an E-scooter or something at this point.,1,2026-03-12 15:43:03
terrible,1,2026-03-12 11:52:17
great,5,2026-03-12 11:46:37
Left is reliable,5,2026-03-12 09:34:14
the worst price in new Orleans $50 to go around the corner,1,2026-03-12 09:31:52
"I want this lft ad off my maps, my maps is covered with ur app?? please tell me how to get it off i depend on my maps for direction.",1,2026-03-12 08:20:27
good app,5,2026-03-12 06:18:45
they have pronouns on this app now OMG,2,2026-03-12 04:40:27
Directions at PHL airport are horrible. It assigned me to a pickup point three terminals away and was no help in finding it.,1,2026-03-12 03:48:56
terrible app. several times i have been given a time estimation (15-20 minutes) and then it took over an hour. horrible experience,1,2026-03-12 03:44:30
I love this company because they are reliable and dependable!!!,5,2026-03-12 03:20:02
more than 3 times the price of Uber is insane,1,2026-03-12 01:43:05
here lately the drivers have been extremely slow to where they're making me late to work on top of the reckless drivers,1,2026-03-12 01:31:07
"They just replace my rides and make me extremely late. I would not rely on them for anything, they changed the app so you can't see arrival times. Id rather pay more for Uber",1,2026-03-12 01:30:04
"I know it's not the app's fault, but there are fewer drivers on Lyft compared to Uber in my area. I'm about 30 mins north of SF, so it's a bit surprising how Uber is the favored choice here",5,2026-03-12 01:01:01
"This review is after 7 years of using Lyft, the past 3 years I'd say Lyft prices has increased exponentially and their terms of service has not been favorable to their customers not sure how it is on the drivers side. I've had some wild experiences with Lyft including overcharging for rides; to be specific I took a Lyft ride from work to home and the ride price initially was 40$ 2 months later when I checked I was charged 90$ I had to reach out to Lyft which was a maze due to Lyft's ai system.",2,2026-03-11 23:24:00
wait times are horrible 😕 you can order a half an hour in advance and still show up late to your destination because drive want to mm pick from across the universe instead of getting actual close drivers been a member since 21 this app is nothing like it used to be,2,2026-03-11 23:11:03
very good person,5,2026-03-11 22:27:02
"Been using the app for about a year and I can say on avg it's 10-15min longer wait than uber. I left uber because they're customer service department is trash but I'll have to go back as lyft feels like it's getting worse, pushing adds for ride upgrades instead of assigning a driver.",1,2026-03-11 21:28:20
"I've had numerous incidents where a driver will accept the pickup wait 5-10 minutes and then decide they don't want it and it switches to another driver making people late for work I've been late for work three times because a lift and this issue the last time the girl was 3 minutes away and I guess she decided she didn't want to do it so it switched drivers to a guy who was 8 minutes away for 20 minutes, which made me late for work, I don't know why they allow drivers to switch at the last minu",1,2026-03-11 21:05:16
"The app is garbage once it gets used to the schedule that you normally take it then, jumps the price up to thirty five forty dollar rides for 2 miles down the road and pushes it's subscription service",1,2026-03-11 18:04:34
authorization hold on 40 bucks and zapped it from my account with just errors. make an app that works,1,2026-03-11 17:54:06
drivers are selfish and scammers,1,2026-03-11 15:57:48
"The Lyft app is honestly garbage, especially the “Wait & Save” option. It promises a cheaper ride if you’re willing to wait, but the wait time is completely unreliable. I’ve had rides show up way later than the estimate, sometimes get reassigned multiple times, or even canceled after waiting. What’s the point of choosing “Wait & Save” if the timing is so inconsistent? It just ends up wasting your time and causing frustration. Lyft seriously needs to fix this feature.",1,2026-03-11 15:31:07
always convenient and real friendly and clean,5,2026-03-11 09:57:47
cannot link my promos to this account,1,2026-03-11 04:50:23
Fantastic.,5,2026-03-11 03:31:12
"if it wasn't for Lyft, I wouldn't get to work on time. Thanks to all the drivers. you guys are MVPs, I think its ridiculous that Lyft takes 40+% of the total.",5,2026-03-11 02:52:23
"Sure would be nice if the Women+ Connect option worked literally ONCE in the time I've been opted into it, in the multiple cities I've had to use Lyft in.",1,2026-03-11 00:57:01
very nice,5,2026-03-10 20:47:18
it good,5,2026-03-10 20:40:51
"Beware, this is now a scam. Most of the time it's more expensive than Uber. You try to get a cheaper option (wait and save) and you just get scammed again—expensive, inefficient. My driver took the longest way possible, took more than 15 minutes on a 9-minute ride, and if I canceled, I got $3 scammed. Yep, going back to Uber.",1,2026-03-10 19:56:26
Please help service Customers BETTER. Please help the driver's service the customers BETTER and Florida.,1,2026-03-10 19:46:42
Not great at finding rides. I end up spending like 30 minutes on the 'finding a driver in a few seconds' screen whereas uber finds me a ride in 5 minutes,2,2026-03-10 17:41:42
excellent so far great and fast service,5,2026-03-10 14:16:21
"If you have to pay for repeated rides a lot they do offer good discounts for it, for a small fee. I also did not intend to purchase the passes, and they were wonderful about refunding them!",5,2026-03-10 12:56:38
I've been satisfied with the service since I've been writing,5,2026-03-10 11:38:06
giood service but higher prices,3,2026-03-10 08:26:26
"The best. Always nice, prompt, and clean.",5,2026-03-10 08:12:58
the rates for my area are almost double the rates of Uber,2,2026-03-10 08:03:55
how does the price go up from 4.94 to 19.58 for a ride literally 2 streets over I understand that drivers may be out of the area but that's ridiculous,2,2026-03-10 07:37:18
Awesome drivers!⭐⭐⭐⭐⭐,5,2026-03-10 05:06:47
"Today is March 9th, and Drivers Lift made me lose 15 minutes. Two drivers took my route and canceled it, until the third one took it and brought me to work. That's why I'm giving one star.",1,2026-03-10 04:19:42
that don't get my location right they all ways do this to me and for this I Terminate that app from my phone I am not amused 🧐 update 3/9/26/ I have given it another go all was well until the process more than double where it only cost me $7 to $11 now its most $20 + I I'm still not amused 🧐,3,2026-03-10 03:46:18
sketchy on a good day... drivers may pick you up... or act like a taxi and get someone else and still get paid by you.,1,2026-03-10 03:27:12
Best customer service. Very helpful and Always Kind,5,2026-03-10 01:14:54
friendly and clean cars always,5,2026-03-09 22:54:19
"Tips are automatic now. genuinely terrible change, i didn't consent to being charged that much. also, the wait time is NEVER accurate.",1,2026-03-09 22:23:26
fast response time. once you place your destination. sometimes the Ride is immediately Available. have on your Shoes and ready to go. Lyft is sometimes in a instant. waiting for you.,5,2026-03-09 21:52:47
zero stars absolutely terrible service id never recommend,1,2026-03-09 21:50:40
"fine when it works but why when I'm waiting 15+ minutes for a ride and then cancel because it's not worth it anymore do I get a pop up saying cancelling can result in longer wait times? I don't live in a small city and i don't care if there are 5+ rides within a 1 mile radius, none of them are picking up???? Just give me my money back for the service I didn't get.",2,2026-03-09 18:39:41
"I really wanna give more stars but the drivers I get ALWAYS make me late for appointments,they cancel my rides. some of them shouldn't even be driving. I have had 3 drivers total id recommend. Theres more trouble with the drivers I get then anything.",2,2026-03-09 18:20:28
"When the app ""works"" its great but for the past 2 months It's been hell trying to use it just to get home from work. I live 8mins away and the general prices would range from 13-20 and only take 10mins max to find a driver. Now its constant $50-$60+ even with plenty of drivers in the area and the route it takes is longer than needed because it thinks an on-ramp is still closed from construction but its been open for 4 months now. Have been using this service for almost a year now.",3,2026-03-09 18:09:42
"it was cool at first then the prices got high in as soon as I order a lyft just now they took $17 from me on top of the $7.00 yall prices are getting way to high n I dont like fact that yall wait until the next day to charge my card for whatever reason then y'all taking a service fee on top oftentimes, actual fee y'all tripping.This gonna be my last time using lyft i wish I can give y'all zero stars.Y'all really took seventeen dollars from me and this is not the first time that it's happened",1,2026-03-09 16:09:01
so far a good experience,4,2026-03-09 13:22:39
I love it,5,2026-03-09 11:42:55
"When using that, I've always gotten my where I need to go to my destination and back safely. I really appreciate it being sad. I do not have a car or friends that have things to do. Unable to take me so I'm very happy with let's write and keep 2 Panderland taken a cab.\n!!!¡)))",5,2026-03-09 09:21:56
good traveling time drivers on point.,5,2026-03-09 07:28:15
love Lyft and actually most recently its been way cheaper the uber so thats great.... 👌,5,2026-03-09 07:00:49
"Cannot even use the actual function of the app. Keeps defaulting to signing up/logging in with a phone, don't get the code, so stuck indefinitely on a log in screen. Wifi is fine.",1,2026-03-09 05:59:11
"can't seem to get a ride from anyone anywhere, and the person I got canceled the ride on their way to me.",1,2026-03-09 05:43:52
ok I do it long-term but sometimes is crazy low pay,4,2026-03-09 05:07:51
I just want to know what it will cost to ride from the airport to home! why is it so complicated,3,2026-03-09 02:52:59
canceled my ride then upped the price to twice as much for the next one,1,2026-03-09 02:35:49
"I will *never* use lyft again. you guys had me late because it sat on ""just a few more seconds for multiple minutes. maybe ten or twenty. YOU COULD HAVE JUST SAID THERE WERE NO DRIVERS AROUND!!! This is bad and deceptive design just awaiting a lawsuit. I went over to Uber and immediately got a ride.",1,2026-03-09 01:03:10
"03/07/2026 LYFT NEEDS TO DO BETTER or do away with the ride share in all Yelp reviews for Lyft are overwhelmingly negative, with an average rating of 1.9 out of 5 stars based on over 7,000 reviews. Customers frequently cite poor customer service, difficulty resolving billing disputes, overcharging, and, in some cases, the inability to cancel rides as major issues.  ￼Yelp +2",1,2026-03-08 22:52:44
good for cheap rides but sucks at finding rides. or they would take an hour just to find a ride that's supposed to take 5 minutes to take me to work.,5,2026-03-08 22:33:14
"Overcharge I have been using ride shares for years and never had a sketchy overcharge like this ride. The details are on 3/3/26, I was picked up at Dallas Love airport & dropped off in Waxahachie. It was supposed to be $48 for 35 mile ride and just under 1 hour. Lyft charged me for 68 miles & 1 hour & 51 minute ride. I complained about the fare being twice as much for an extra ride I did not take. They will not make it right saying oh well the navigation sticks sometimes.",1,2026-03-08 22:15:24
"Beware, Lyft is having their driver's cancel their riders through you. They'll take another ride, ask you to cancel so you pay the fee, or leave your account on hold while you wait for it to be canceled. It's a common scam, but Lyft would rather not lose more drivers, and not pay their drivers more to solely use you. Expect 1:3 of your rides to now not make it.",1,2026-03-08 21:55:50
"Upcharging for time of day only to make you wait too long and make you late for work while letting you thinknyou are getting a better deal bybtelling you that you're upgraded. So yeah, you get 1 star. I wish I could give you less.",1,2026-03-08 19:17:45
Bad experience they make sure that you don't know when to place your order the driver can be so late and other times like 2 minutes after you order and if you cancel even before you have a driver you have to pay for nothing,1,2026-03-08 17:28:06
I find Lyft to be twice as expensive as Uber.,2,2026-03-08 16:43:10
Just cancels your ride request for no response and I lost my job cause of it.,1,2026-03-08 13:39:18
"Very bad customer service, I lost my phone and no one helping my to get it back!!! very bad app!!! red flag ❌️",1,2026-03-08 12:48:07
I think you guys are outrageously way too high considering how everything is like double these days it's literally I feel like you guys are getting what is highway robbery .and thani am freaking out because it's only like 10 MI I got to go when you are asking for $109 that is ridiculous dude I cannot believe that,3,2026-03-08 11:55:52
It's was good and they waited patiently for my husband get to and from the car,5,2026-03-08 11:12:56
"my friend was sick outside of the vehicle. and then passed out in the road. my driver showed no remorse or concen. then charged me 80 dollars for damage after chasing me down with a dry lysol wipe to clean it. I tried. it didn't work, so I put my friends safety above the while thing and took her inside. I'll never use lyft after being disrespected like that.",1,2026-03-08 08:52:09
very nice and respectful drivers with no chip or marshmallow on their shoulder. just straight forward and on time or better.,5,2026-03-08 08:11:32
I'm getting charged for a ride I never received,1,2026-03-08 07:05:12
Very good service,5,2026-03-08 06:11:43
lyft sucks. I go 3 miles and they ask 45 bucks.,1,2026-03-08 06:07:30
For 2.1 mi I would have to pay $31.99...no surge....plenty of drivers....You're stealing money. Uber is no different but at least it's half this.,1,2026-03-08 04:53:03
